categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
true;true;false;false;false;true;true;false;true;false;false;false;false;false;false;822;7940
true;false;false;false;false;true;false;false;true;false;false;false;false;false;false;588;7970
true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;619;8000
true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;474;8080
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;236;8100
true;false;false;false;false;false;true;false;false;false;false;false;false;true;false;1810;8140
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;2050;8170
true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;166;8190
true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;349;8200
true;true;true;true;false;false;true;false;false;false;true;false;false;false;true;1481;8210
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;2768;8220
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;4866;8230
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;14209;8240
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;555;8250
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;2214;8260
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1404;8270
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;384;8280
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;125;8290
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;5797;8300
true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;36012;8310
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;5677;8320
true;false;false;false;false;false;true;false;false;false;true;false;false;false;false;951;8330
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;219;8340
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;1450;8350
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;133;8360
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;179;8370
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;122;8380
true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;437;8400
true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;272;8500
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;148;8600
true;false;false;false;false;false;false;false;false;false;false;true;true;false;false;120;8780
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;623;8790
true;false;false;false;false;false;false;false;false;false;false;false;false;true;false;2893;8800
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;375;8850
true;true;true;false;false;false;true;true;false;false;false;false;false;false;false;239;8870
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;1349;8880
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1084;8890
true;false;true;false;false;true;false;false;false;false;false;false;false;false;false;8181;8930
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;2053;8970
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;188;8980
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;1888;9000
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1318;9010
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1140;9030
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;418;9040
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;396;9050
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;2318;9060
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;237;9160
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;260;9180
